,Meta,Meta,early Ana,Ana,late Ana,late Ana
Number,T0243.7,T0243.5,T0243.4,T0208.1,T0275_10,T0369_8
all,3662,3812,7011,3317,1511,1306
closer 250nm,1402,1038,6105,2675,1003,801
further,2260,2774,906,642,508,505
,,,,,,
,length,length,length,length,length,length
,5216.0337,6260.6631,1205.2887,3236.1758,14160.008,1237.4276
,4951.4438,4876.3047,2960.1726,1241.4972,8061.6348,3801.0276
,2359.7466,7535.5137,2623.9324,952.71155,12593.982,902.43097
,2606.2339,11667.936,831.81458,1279.496,7134.2632,7190.2256
,1447.4294,11938.627,6329.6929,3678.4424,12565.468,8434.1377
,2096.2358,6254.7549,12579.027,1274.3101,17532.564,1945.5869
,13828.146,6764.4395,866.00787,2190.6697,9999.8867,962.62158
,21987.051,5631.9268,7140.2949,2324.6919,9150.9141,1173.526
,17961.049,3657.4275,2974.4885,2542.0295,12564.713,1134.1869
,3490.5554,6668.2236,815.11499,1952.4677,8596.4443,11408.517
,6227.1045,4914.3721,2284.5989,1433.125,8185.3623,1821.8939
,9401.8896,3175.2061,2855.865,1657.0291,12456.172,3035.3372
,8539.7539,6763.8472,713.03192,1868.0037,9597.0059,1121.3542
,3126.2476,3319.2358,1398.5348,4533.4702,5033.7935,898.39966
,6700.2637,5822.9453,2974.313,2758.0273,16694.916,1163.1261
,7840.4854,5801.0903,5468.7334,534.7793,13771.351,3980.6382
,1534.8771,1763.0919,6484.2822,6171.2139,6203.2798,2472.2554
,1433.5068,6724.4282,953.02228,3603.5293,9217.1152,2297.9231
,515.8844,5162.0928,1033.0513,846.76617,6805.9414,2210.896
,944.01013,6581.248,9631.5439,1346.4072,2281.7097,2667.1323
,1143.7501,5296.6528,4271.9497,1537.6736,4376.6978,20996.348
,3785.2893,12776.059,2750.8032,1749.8193,6068.0884,2119.791
,1906.2665,8603.7041,1715.5728,1491.8912,15441.439,2828.1731
,3602.7512,1487.1484,4397.2183,4810.7817,4015.9038,3099.1907
,1557.1954,8495.7715,3914.8208,1033.0726,9579.0215,770.5481
,3820.8352,3141.3645,1654.4065,2015.0018,5254.9683,807.89142
,11101.514,3168.8372,1305.6403,1525.4589,4005.4248,14071.867
,596.55884,2605.2144,1634.9183,1649.5535,17489.586,7971.6079
,829.76013,6978.3115,1479.1271,3778.1587,3758.5405,6360.9038
,1818.4045,3112.1199,5857.5625,810.05408,7541.1309,3201.0293
,721.24902,781.52966,2697.5928,771.27667,2869.9595,1653.3231
,788.6955,1181.137,2257.0229,1522.3579,3528.0664,5487.1919
,544.112,3129.1382,7323.5645,1495.8073,21346.291,6969.6333
,766.23962,13567.097,1269.3945,4439.5215,2502.4158,15531.147
,2344.259,13779.764,1790.4656,721.49249,6035.9521,3185.5967
,899.94409,4127.2197,1010.6102,1310.9205,4343.2246,16980.885
,4668.9961,3649.1602,617.78058,2414.668,8883.9453,4257.4629
,2429.2463,2879.3591,10428.125,583.42188,1419.7861,9143.1904
,3283.9558,3211.228,1115.8422,1532.1455,9726.7031,14432.097
,1249.8239,5515.2344,7168.2769,626.88428,1072.5364,5840.168
,1722.7539,3568.6453,556.7702,795.29022,18520.266,11560.181
,1302.1897,1911.9365,6828.3999,1669.8131,11637.365,2843.9873
,1774.3213,1738.3578,3521.5151,1608.8123,5023.0229,7414.1338
,1832.8853,3218.0303,1059.3047,929.47229,4981.0723,11950.104
,2815.064,2602.0574,3235.3455,1551.5216,18050.471,12839.169
,863.16895,5152.9746,1099.9971,900.12695,3354.3271,2195.9634
,3832.1104,2970.7188,8540.5283,5447.9731,3033.0371,2711.6355
,926.53674,1038.9854,895.09161,543.28424,2696.7344,2455.0444
,8457.9287,2159.3401,6054.1665,900.62006,3691.4822,12310.784
,3605.8667,1699.5879,4209.8896,2239.9514,7401.2075,2150.0422
,775.33215,907.83429,1463.2682,303.41418,3905.6255,9226.127
,1254.2144,888.00897,1646.1749,221.70134,3992.7173,6217.5063
,1151.8192,704.13232,2946.8186,577.72308,9777.6348,9449.9678
,1181.8175,1290.2867,8897.8281,686.54565,5600.4883,18669.316
,606.85266,2404.0264,1266.5927,2276.6724,6844.2637,5142.6543
,1272.6201,4427.0225,3306.3774,2804.5918,7765.8779,2225.4636
,1308.5892,1552.8282,4669.2681,1484.3037,4791.8936,5120.0415
,2913.9001,1734.3135,4426.0049,859.52069,834.13116,1922.4146
,1608.5674,1891.7402,637.43018,2211.3662,1301.7917,2597.5347
,1071.4902,898.3219,4097.4023,2423.7886,9815.1855,8856.1152
,1261.2347,2098.3323,1190.0978,4139.4087,16425.662,9207.6709
,570.1972,4024.3894,18518.029,638.54309,5600.3408,2168.0515
,1274.587,1615.8665,6025.9722,5245.353,4823.9585,10092.073
,1567.0884,4427.2559,4674.3574,906.82318,2711.7612,8447.9795
,1090.6671,987.3988,2085.5317,1656.6936,1579.9084,6308.6914
,3826.3811,1978.8557,2009.6554,1161.9735,4116.6016,20140.877
,1842.5598,3723.519,3134.3867,2578.3223,8813.5039,2418.7256
,2710.5764,849.45093,683.17169,1553.4495,2532.7527,3006.6829
,1829.9041,1139.6415,957.18585,1109.1549,4125.7354,3214.9055
,12300.473,948.10388,5116.7773,1313.3513,7738.1777,1903.9088
,4562.6426,2023.4198,1247.1971,652.87549,5835.3965,3901.4648
,6220.0581,1426.2802,6723.1968,3615.8823,10999.617,769.56592
,2844.2083,2031.5817,2035.1365,1299.5942,5123.8008,1724.5359
,1487.1931,1414.6345,5225.4326,8673.1924,2694.2593,2891.2368
,4094.5852,4125.8296,1495.6902,1111.0386,5528.2358,9049.2627
,1699.8589,131.3685,663.89166,858.77057,16830.533,11738.157
,1878.4868,3674.7646,521.09216,1200.6152,3515.7856,5751.5513
,1691.9658,2072.3208,1764.0837,1045.4824,15181.233,12658.969
,1461.1273,2040.5184,5603.3853,723.95996,1423.3987,11647.553
,6904.481,3786.6594,1501.1719,989.01257,9958.2627,3739.4468
,1054.6799,3351.646,3652.7996,2100.7876,8971.1826,22696.623
,1857.647,8508.7861,2744.342,2413.894,8846.2598,7745.5693
,1042.4127,2569.2725,2645.2661,1499.5112,7528.1826,9731.5781
,2009.0382,2238.7021,606.42438,1679.2031,2695.6047,649.90729
,1039.6046,6743.2974,10990.067,3479.9858,2420.7598,2560.3652
,858.19946,212.7811,4276.0503,2902.1936,5203.4688,1192.0793
,386.28314,1495.0872,1916.4642,4282.5024,6298.2065,3120.3831
,3942.9497,2752.197,5731.374,1431.4064,9342.627,8439.7158
,2416.0854,1040.8444,2144.3826,3569.396,9707.7002,3693.0298
,1772.9471,401.43796,1661.8973,11142.372,1660.3586,6383.0737
,1371.8813,687.82288,1237.4033,8398.5918,3951.4197,7017.9141
,2861.5098,4025.4148,6662.9121,3511.5195,4600.5796,25183.814
,9773.9492,2623.0137,1446.7776,1529.0406,1447.5042,1673.0948
,2020.7876,4313.0972,12384.958,2764.772,12847.193,7441.8276
,5986.624,1767.2905,3142.1851,2380.8342,4402.8862,8056.5063
,1680.0875,646.95563,2196.5093,1686.3556,4721.4272,2196.0344
,4491.8076,2565.1677,1225.0918,1030.6284,3226.4031,1127.4164
,977.40411,3178.8125,2533.7822,973.39594,3799.5671,2405.6265
,3644.1638,2258.2336,2437.1675,3798.0339,2801.5757,15766.468
,945.47864,1467.326,4572.6201,1208.0804,8654.043,16929.357
,1214.0712,1228.302,693.99884,7249.4658,8100.9233,3157.5999
,711.35187,3866.4214,527.5163,1968.1499,7519.7158,3415.2332
,6712.0537,2886.1074,1121.8357,3698.2715,5742.9263,4614.6035
,1083.2482,2404.9983,911.1311,4023.939,7806.5312,7442.6128
,2121.6716,892.18835,1898.9612,5383.5381,1611.4945,2436.9861
,1140.1322,462.18024,943.80261,1236.1837,4567.9702,19050.045
,1781.8364,10089.029,3718.3232,1804.343,11370.69,9562.2148
,636.06128,10292.407,522.99609,1308.5963,4085.3152,10352.349
,9987.8594,4402.5767,1201.6549,1539.2214,6653.1709,15908.187
,1350.0635,864.04877,1329.3584,3379.9363,5759.3687,3878.481
,771.35535,774.88525,4592.8989,1267.3434,6199.1099,8748.6846
,880.51074,2408.012,2502.3252,4047.835,1644.5304,7908.8618
,2308.8765,1248.1222,1572.4421,2485.3074,9256.5645,9046.3711
,1664.9807,842.27704,1159.9417,3430.3123,4098.3936,4024.3567
,2525.1577,1653.9979,3511.7539,3456.6206,3043.1565,9490.4287
,3941.7969,3795.2986,1417.2438,1327.9091,3611.6147,11503.457
,1195.1257,6319.9175,3017.6343,1622.1854,9252.1689,11377.684
,1418.4939,2977.271,1895.5336,3637.0632,7120.0352,13006.422
,5084.3486,1203.6055,3687.3469,1619.2966,4504.1748,2340.4937
,3102.1543,2337.293,574.18677,2217.5166,6713.9775,15420.949
,2943.0266,13858.982,1673.9912,3500.3831,10833.464,2000.4814
,2933.9272,6034.3623,982.24878,1122.4886,22560.332,15650.723
,5757.7998,4004.8665,4264.2266,3326.5225,7630.9785,4833.0596
,484.48276,945.73645,1290.2207,1158.9375,5183.7505,15217.085
,1683.0173,3229.4971,539.29193,2366.2993,7667.6572,3999.5842
,3023.6755,7626.0815,2006.8798,4470.4912,7042.1836,6391.085
,151.8087,4511.2095,2463.5713,595.41583,3602.1404,4764.6758
,2664.2556,7553.1147,1515.8771,1403.9497,1439.176,5124.4556
,1717.1035,5081.1504,3474.9846,2302.457,8650.1172,11755.887
,9445.3506,3045.894,711.03979,2983.0618,20741.576,12657.461
